Date,RF,THR
18/12/2018,0.96205,0.95903
28/12/2018,0.86507,0.8557
07/01/2019,0.82382,0.80862
17/01/2019,0.90449,0.9023
18/03/2019,0.94074,0.93992
23/03/2019,0.96078,0.95949
05/08/2019,0.9235,0.92075
25/08/2019,0.82819,0.83524
19/09/2019,0.97706,0.97859
04/10/2019,0.93631,0.93861
07/01/2020,0.94079,0.95077
11/02/2020,0.93218,0.93471
31/05/2020,0.98023,0.97838
25/06/2020,0.92278,0.9176
13/09/2020,0.95943,0.9599
22/12/2020,0.88712,0.88298
15/02/2021,0.84768,0.84205
10/06/2021,0.84911,0.84217
04/08/2021,0.95924,0.96007
13/09/2021,0.95959,0.95987
23/09/2021,0.95983,0.95988
22/12/2021,0.97961,0.96063