Month step,km2
15/01/2018,0.000
31/01/2018,0.000
15/02/2018,0.000
28/02/2018,0.000
15/03/2018,0.000
31/03/2018,0.000
15/04/2018,0.000
30/04/2018,29.671
15/05/2018,0.000
31/05/2018,29.628
15/06/2018,0.000
30/06/2018,92.416
15/07/2018,97.543
31/07/2018,57.778
15/08/2018,0.000
31/08/2018,139.412
15/09/2018,127.761
30/09/2018,0.000
15/10/2018,93.941
31/10/2018,70.605
15/11/2018,166.957
30/11/2018,103.892
15/12/2018,314.598
31/12/2018,144.226
15/01/2019,0.000
31/01/2019,66.676
15/02/2019,0.000
28/02/2019,64.698
15/03/2019,0.000
31/03/2019,0.000
15/04/2019,0.000
30/04/2019,0.000
15/05/2019,39.465
31/05/2019,28.628
15/06/2019,30.194
30/06/2019,0.000
15/07/2019,18.168
31/07/2019,18.420
15/08/2019,19.385
31/08/2019,0.000
15/09/2019,16.294
30/09/2019,0.000
15/10/2019,16.658
31/10/2019,15.380
15/11/2019,15.822
30/11/2019,15.637
15/12/2019,19.400
31/12/2019,15.128
15/01/2020,15.218
31/01/2020,16.884
15/02/2020,0.000
28/02/2020,18.022
15/03/2020,19.144
31/03/2020,20.130
15/04/2020,19.675
30/04/2020,15.036
15/05/2020,0.000
31/05/2020,0.000
15/06/2020,18.355
30/06/2020,21.110
15/07/2020,34.567
31/07/2020,26.300
15/08/2020,24.988
31/08/2020,0.000
15/09/2020,24.832
30/09/2020,36.623
15/10/2020,27.046
31/10/2020,26.888
15/11/2020,27.800
30/11/2020,0.000
15/12/2020,15.833
31/12/2020,0.000
15/01/2021,11.584
31/01/2021,10.058
15/02/2021,10.748
28/02/2021,0.000
15/03/2021,0.000
31/03/2021,0.000
15/04/2021,0.000
30/04/2021,7.045
15/05/2021,22.911
31/05/2021,6.799
15/06/2021,6.867
30/06/2021,0.000
15/07/2021,7.356
31/07/2021,0.000
15/08/2021,0.000
31/08/2021,0.000
15/09/2021,8.595
30/09/2021,0.000
15/10/2021,15.764
31/10/2021,9.699
15/11/2021,7.426
30/11/2021,10.655
15/12/2021,8.609
31/12/2021,11.952
15/01/2022,0.000
31/01/2022,0.000
15/02/2022,0.000
28/02/2022,0.000
15/03/2022,0.000
31/03/2022,0.000
15/04/2022,0.000