Date,pixels,km2
18/12/2018,"35,358.08",14.1432328
28/12/2018,"131,401.59",52.5606352
07/01/2019,"185,551.36",74.2205444
17/01/2019,"45,913.57",18.3654276
18/03/2019,"12,791.10",5.1164392
23/03/2019,"6,146.97",2.4587892
05/08/2019,"197,840.04",79.136014
25/08/2019,"65,122.49",26.0489944
19/09/2019,"120,828.22",48.331288
04/10/2019,"145,067.34",58.0269348
07/01/2020,"518,047.82",207.21913
11/02/2020,"423,052.27",169.220907
31/05/2020,"425,167.35",170.066938
25/06/2020,"312,205.94",124.882376
13/09/2020,"39,033.78",15.6135104
22/12/2020,"227,084.01",90.8336048
15/02/2021,"181,080.99",72.4323968
10/06/2021,"222,368.83",88.9475324
04/08/2021,"39,162.93",15.6651716
13/09/2021,"19,980.98",7.992392
23/09/2021,"12,070.16",4.8280628
22/12/2021,"3,045.15",1.218058